"filename", "language", "JavaScript", "CSS", "Vue", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/bytedance/Downloads/music-master/public/theme/element/reset.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/result.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/row.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/scrollbar.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/select-dropdown.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/select.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/skeleton-item.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/skeleton.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/slider.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/spinner.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/step.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/steps.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/submenu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/switch.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/tab-pane.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
