Date : 2023-04-08 09:11:45
Directory : /Users/bytedance/Downloads/music-master
Total : 138 files,  44377 codes, 64 comments, 3117 blanks, all 47558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/bytedance/Downloads/music-master/public/theme/element/tabs.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/tag.css               | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/time-picker.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/time-select.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/timeline-item.css     | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/timeline.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/tooltip.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/transfer.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/tree.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/upload.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/src/App.vue                                | Vue        |         10 |          0 |          0 |         10 |
| /Users/bytedance/Downloads/music-master/src/api/index.js                           | JavaScript |        193 |          4 |          1 |        198 |
| /Users/bytedance/Downloads/music-master/src/assets/css/common.css                  | CSS        |         44 |          1 |         10 |         55 |
| /Users/bytedance/Downloads/music-master/src/components/album_one.vue               | Vue        |         48 |          0 |          5 |         53 |
| /Users/bytedance/Downloads/music-master/src/components/back.vue                    | Vue        |         32 |          0 |          2 |         34 |
| /Users/bytedance/Downloads/music-master/src/components/box.vue                     | Vue        |         49 |          0 |          4 |         53 |
